address,Attractions,Great_for_walker,hotel_name,rank,Restaurant_nearby,Review,Review_number,Room_number,Travel_types,languages,number_images_Traveler,number_room_dining,number_room_suite
"Bai Bac, Da Nang 550000 Vietnam",,,InterContinental Danang Sun Peninsula Resort,#4,,,"4,982 reviews",201,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Chinese (Sim.)"," (,7901,) ",734,1440
"35 Truong Sa Street, Hoa Hai Ward, Ngu Hanh Son Distric Hoa Hai Ward, Ngu Hanh Son District, Da Nang 550000 Vietnam",21,39,Sheraton Grand Danang Resort,#49,99,,474 reviews,270,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Japanese"," (,914,) ",2,198
"162 Bach Dang Street, Da Nang 550000 Vietnam",23,93,Brilliant Hotel,#11,144,,"2,538 reviews",102,"Families,Couples,Solo,Business,Friends","All languages,Korean,English,Chinese (Sim.)"," (,946,) ",155,155
"01 Le Van Duyet Nai Hien Dong, Son Tra, Da Nang 550000 Vietnam",,,Danang Golden Bay,#38,,,683 reviews,949,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Vietnamese"," (,891,) ",60,75
"270 Vo Nguyen Giap Street Ngu Hanh Son District, My An, Da Nang 550000 Vietnam",5,84,Muong Thanh Luxury Da Nang Hotel,#1,92,,"1,031 reviews",583,"Families,Couples,Solo,Business,Friends","All languages,Vietnamese,Korean,English"," (,733,) ",29,64
"36 - 38 Lam Hoanh St. Phuoc My Ward, Son Tra District, Da Nang 550000 Vietnam",3,71,Sala Danang Beach Hotel,#5,29,,892 reviews,162,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Vietnamese"," (,806,) ",33,116
"200 Vo Nguyen Giap Street Son Tra District, Da Nang Vietnam",11,87,A La Carte Da Nang Beach,#85,76,,"1,528 reviews",202,"Families,Couples,Solo,Business,Friends","All languages,English,Chinese (Sim.),Korean"," (,1440,) ",150,278
"171 Nguyen Van Thoai Street, Son Tra District, Da Nang 550000 Vietnam",2,78,King's Finger Hotel,#67,91,,915 reviews,115,"Families,Couples,Solo,Business,Friends","All languages,English,Chinese (Sim.),Chinese (Trad.)"," (,824,) ",153,200
"278 Vo Nguyen Giap Street Ngu Hanh Son District, Da Nang 550000 Vietnam",7,77,HAIAN Beach Hotel & Spa,#4,111,,"1,544 reviews",220,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Chinese (Sim.)"," (,801,) ",98,164
"So_ 5 Nguye_n Cao Luye_n, Da Nang 550000 Vietnam",10,85,Minh Boutique,#14,74,,231 reviews,24,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Korean"," (,480,) ",49,91
"36 Bach Dang Street Hai Chau District, Da Nang Vietnam",12,84,Novotel Danang Premier Han River,#20,76,,"3,349 reviews",323,"Families,Couples,Solo,Business,Friends","All languages,Korean,English,Chinese (Sim.)"," (,1952,) ",137,556
"109A Duong Dinh Nghe Street An Hai Bac Ward , Son Tra District, Da Nang Vietnam",7,80,NAM Hotel & Spa,#123,45,,73 reviews,52,"Families,Couples,Solo,Business,Friends","All languages,English,Chinese (Sim.),Chinese (Trad.)"," (,74,) ",7,18
